Sticker | Astralis (Holo) | 2020 RMR,4302203208
XM1014 | Zombie Offensive (Field-Tested),5958635735
XM1014 | Irezumi (Minimal Wear),5980966300
StatTrak™ AWP | Duality (Field-Tested),5978631170
MP7 | Fade (Factory New),5980973812
Glock-18 | Candy Apple (Field-Tested),5965147839
AK-47 | Rat Rod (Minimal Wear),3608084841
FAMAS | Teardown (Minimal Wear),310776853
MAC-10 | Disco Tech (Minimal Wear),5980978650
StatTrak™ AK-47 | Uncharted (Minimal Wear),5980987009
StatTrak™ M4A1-S | Night Terror (Minimal Wear),5981689469
Five-SeveN | Orange Peel (Field-Tested),310777990
USP-S | Desert Tactical (Field-Tested),5944644454
AK-47 | Legion of Anubis (Well-Worn),5981012566
Sawed-Off | Amber Fade (Factory New),310776650
StatTrak™ Desert Eagle | Light Rail (Field-Tested),5976165780
Berlin 2019 Legends Autograph Capsule,3472108652
AK-47 | Uncharted (Battle-Scarred),5962432716
Sticker | Enemy Spotted,5981040716
Sticker | Boost (Holo),3574238846
Sticker | NiKo (Holo) | Copenhagen 2024,5961068664
PP-Bizon | Candy Apple (Minimal Wear),5980966878
FAMAS | Teardown (Field-Tested),5976148712
P250 | Vino Primo (Field-Tested),3035634678
Glock-18 | Ironwork (Minimal Wear),2076471660
Nova | Dark Sigil (Field-Tested),5721067157
Sticker | Baby Howl,5980978823
AK-47 | Emerald Pinstripe (Well-Worn),469509623
Sticker | GamerLegion (Holo) | Paris 2023,5973718441
StatTrak™ M4A4 | Magnesium (Field-Tested),5823673557
StatTrak™ Desert Eagle | Trigger Discipline (Well-Worn),5980981776
Glock-18 | Death Rattle (Field-Tested),5981151530
Sawed-Off | Amber Fade (Minimal Wear),310779460
MP7 | Abyssal Apparition (Well-Worn),4726078301
Sticker | DemQQ (Holo) | Paris 2023,5327977826
M4A1-S | Nitro (Well-Worn),4320275724
MP5-SD | Gauss (Field-Tested),3220810390
MAG-7 | Foresight (Field-Tested),5973701258
P90 | Neoqueen (Factory New),5980973587
Galil AR | Signal (Field-Tested),5980969646
Galil AR | Tuxedo (Factory New),469529498
Sticker | SAW (Gold) | Copenhagen 2024,5980974555
Desert Eagle | Light Rail (Battle-Scarred),5980982797
StatTrak™ Glock-18 | Moonrise (Minimal Wear),5167085118
UMP-45 | Motorized (Field-Tested),5721066233
SG 553 | Army Sheen (Factory New),5968227960
StatTrak™ M4A4 | Poly Mag (Minimal Wear),4910475301
MP7 | Bloodsport (Minimal Wear),5942357804
AWP | Worm God (Factory New),4415119974
Desert Eagle | Urban Rubble (Factory New),5980965769
PP-Bizon | Candy Apple (Factory New),3035582942
Desert Eagle | Corinthian (Minimal Wear),5980971742
"Music Kit | Scarlxrd: King, Scar",5980978246
Sticker | Kawaii CT (Holo),4966008785
Desert Eagle | Sputnik (Factory New),5982059823
R8 Revolver | Banana Cannon (Battle-Scarred),5958659066
USP-S | Check Engine (Factory New),3035583926
AWP | Atheris (Battle-Scarred),5331463750
M4A4 | MagP250 | See Ya Later (Field-Tested),4920372145
AWP | Exoskeleton (Minimal Wear),5980970353
G3SG1 | Dream Glade (Minimal Wear),4726068233
Dual Berettas | Hideout (Minimal Wear),5980969990
M4A4 | Spider Lily (Well-Worn),5972681998
Dual Berettas | Flora Carnivora (Minimal Wear),5980978005
SCAR-20 | Powercore (Field-Tested),1934414289
Desert Eagle | Directive (Field-Tested),1934423844
M4A4 | Tooth Fairy (Battle-Scarred),5973714112
Nova | Caged Steel (Factory New),5514052036
Sticker | Runtime (Holo),5981050311
Five-SeveN | Silver Quartz (Minimal Wear),310800933
Sawed-Off | Amber Fade (Field-Tested),310776670
MAC-10 | Light Box (Field-Tested),5957363631
MAC-10 | Sakkaku (Battle-Scarred),5965124378
USP-S | Blueprint (Field-Tested),5955410404
M4A1-S | Flashback (Field-Tested),2076477496
Nova | Candy Apple (Minimal Wear),310780494
StatTrak™ AWP | Exoskeleton (Field-Tested),4600581722
M4A4 | Etch Lord (Battle-Scarred),5958631691
'Two Times' McCoy | TACP Cavalry,5980966396
Sticker | Web Stuck,5981000810
Sticker | SAW | Copenhagen 2024,5980972953
Ground Rebel  | Elite Crew,5971012392
AK-47 | Uncharted (Factory New),5971017918
Glock-18 | Weasel (Field-Tested),1934421358
Five-SeveN | Scrawl (Minimal Wear),5980976919
M4A1-S | Boreal Forest (Field-Tested),5978626524
M4A1-S | Boreal Forest (Minimal Wear),310776642
StatTrak™ Glock-18 | Block-18 (Minimal Wear),5980973301
MAC-10 | Pipe Down (Minimal Wear),5948594158
USP-S | Black Lotus (Battle-Scarred),5982172242
Desert Eagle | Corinthian (Field-Tested),5980988114
XM1014 | Irezumi (Field-Tested),5980965610
StatTrak™ USP-S | Cortex (Field-Tested),5982119168
G3SG1 | Green Apple (Factory New),5968232781
StatTrak™ Desert Eagle | Corinthian (Field-Tested),5972123206
USP-S | Guardian (Minimal Wear),4934384520
StatTrak™ M4A4 | Tooth Fairy (Field-Tested),4568218546
SSG 08 | Dezastre (Minimal Wear),5721067200
StatTrak™ USP-S | Flashback (Field-Tested),5187291872
Sticker | GamerLegion (Gold) | Copenhagen 2024,5799821604
Sticker | paiN Gaming (Glitter) | Paris 2023,5327976277
Nova | Mandrel (Well-Worn),3035600524
M4A1-S | Mud-Spec (Battle-Scarred),5312942894
M4A4 | Evil Daimyo (Factory New),5871784628
Sticker | Rush 4x20 (Holo),3574238868
StatTrak™ R8 Revolver | Junk Yard (Well-Worn),4428757035
Sawed-Off | Devourer (Field-Tested),5961142536
Galil AR | Cold Fusion (Factory New),3035572747
MAC-10 | Echoing Sands (Field-Tested),5312942872
MP7 | Armor Core (Minimal Wear),5982346721
G3SG1 | Green Apple (Minimal Wear),469440539
SSG 08 | Dezastre (Field-Tested),5968230643
Rezan the Redshirt | Sabre,4141780444
USP-S | Black Lotus (Well-Worn),5981022636
USP-S | Forest Leaves (Field-Tested),310777035
Sticker | AKickflip-47,5721066174
Sticker | Heroic (Holo) | Copenhagen 2024,5980972410
MP7 | Fade (Minimal Wear),3035629503
StatTrak™ Swap Tool,5978621861
CZ75-Auto | Tuxedo (Factory New),469584175
Sticker | Natus Vincere | Copenhagen 2024,5980969590
StatTrak™ M4A4 | Magnesium (Well-Worn),5980979816
StatTrak™ SSG 08 | Fever Dream (Field-Tested),5957087803
Sealed Graffiti | 8-Ball (Shark White),1989283096
Sticker | Complexity Gaming (Gold) | Copenhagen 2024,5980982550
Sticker | NBK- | Atlanta 2017,5981020468
MP9 | Mount Fuji (Field-Tested),5971560211
MAC-10 | Button Masher (Field-Tested),5980968650
AUG | Ricochet (Minimal Wear),5961065095
Sticker Capsule,5980968908
StatTrak™ AWP | PAW (Field-Tested),2961766455
Sticker | Incineration,5980976775
M4A4 | Urban DDPAT (Field-Tested),310777185
P250 | Exchanger (Factory New),3035573638
M4A4 | In Living Color (Battle-Scarred),5090193296
Sticker | Complexity Gaming (Glitter) | Copenhagen 2024,5978629185
USP-S | Night Ops (Factory New),310785914
USP-S | Ticket to Hell (Battle-Scarred),5978627754
2020 RMR Legends,4292377292
Sticker | Gambit | Krakow 2017,2416963839
"Music Kit | Knock2, Make U SWEAT!",5721066209
Sawed-Off | Full Stop (Field-Tested),310778159
Tec-9 | Red Quartz (Field-Tested),5976165970
FAMAS | Rapid Eye Movement (Well-Worn),4726097818
P250 | Franklin (Field-Tested),5982345637
StatTrak™ AWP | Exoskeleton (Well-Worn),5979048777
StatTrak™ DStatTrak™ AK-47 | Elite Build (Well-Worn),5944740272
Sticker | Virtus.pro | Copenhagen 2024,5980967394
Desert Eagle | Sputnik (Minimal Wear),5955847244
10 Year Birthday Sticker Capsule,4966010279
Souvenir Glock-18 | High Beam (Factory New),5977088289
Nova | Dark Sigil (Minimal Wear),5721066365
Desert Eagle | Corinthian (Factory New),5980971202
SSG 08 | Ghost Crusader (Field-Tested),1703088619
MAC-10 | Candy Apple (Minimal Wear),310776718
StatTrak™ Glock-18 | Winterized (Minimal Wear),5955430074
R8 Revolver | Banana Cannon (Field-Tested),5980967162
MAC-10 | Light Box (Minimal Wear),5721068067
Sticker | G2 Esports (Gold) | Copenhagen 2024,5980977074
Five-SeveN | Silver Quartz (Field-Tested),310789241
Sticker | FalleN | Rio 2022,5976587783
Patch | Renegades | Stockholm 2021,5981043357
PP-Bizon | Brass (Battle-Scarred),310792086
R8 Revolver | Nitro (Field-Tested),3035571526
Negev | Loudmouth (Battle-Scarred),5973807514
P250 | Nevermore (Factory New),5973706407
